"","V1","V2"
"613","album","release"
"614","album","coming"
"622","albuquerque","nm"
"623","ale","house"
"624","alec","baldwin"
"625","alex","smith"
"626","alex","i"
"627","alice","wonderland"
"628","alice","cooper"
"629","alicia","keys"
"630","alive","well"
"631","alive","i"
"632","alive","today"
"633","all","i"
"634","all","day"
"635","all","the"
"696","allan","poe"
"697","allow","us"
"698","allowing","us"
"699","allows","us"
"700","allstar","game"
"701","allstar","weekend"
"702","alma","mater"
"703","almond","milk"
"704","almost","done"
"705","almost","time"
"706","almost","got"
"750","alone","i"
"751","alone","time"
"752","alone","alone"
"755","along","way"
"756","along","w"
"757","along","i"
"761","alot","people"
"762","alot","of"
"763","alot","i"
"764","already","know"
"765","already","i"
"766","already","got"
"809","alright","i"
"810","alright","im"
"811","alright","alright"
"815","also","i"
"816","also","like"
"817","also","love"
"876","alter","ego"
"877","although","i"
"878","although","im"
"879","always","good"
"880","always","get"
"881","always","love"
"1032","am","i"
"1033","am","pm"
"1034","am","im"
"1058","amazing","i"
"1059","amazing","day"
"1060","amazing","time"
"1140","amazon","kindle"
"1141","amazon","prime"
"1142","amber","rose"
"1143","amen","rt"
"1144","amen","sister"
"1145","amen","brother"
"1148","america","i"
"1149","america","will"
"1150","american","idol"
"1151","american","history"
"1152","american","people"
"1165","americans","will"
"1166","americas","got"
"1167","among","us"
"1168","among","things"
"1169","among","others"
"1172","amount","time"
"1173","amount","money"
"1174","amount","work"
"1175","amy","winehouse"
"1176","an","amazing"
"1177","an","hour"
"1178","an","old"
"1183","anchor","bar"
"1184","and","i"
"1185","and","im"
"1186","and","now"
"1316","anderson","cooper"
"1317","andre","miller"
"1318","andrew","luck"
"1319","andrew","bynum"
"1320","android","app"
"1321","android","market"
"1322","android","phone"
"1324","andy","pettitte"
"1325","angeles","ca"
"1326","angelina","jolie"
"1327","anger","management"
"1328","angry","birds"
"1329","angry","i"
"1330","animal","crackers"
"1331","animal","planet"
"1332","ann","arbor"
"1333","ann","romney"
"1334","anne","frank"
"1335","anniversary","party"
"1336","announce","winner"
"1337","announce","new"
"1338","announce","i"
"1339","announced","soon"
"1340","announced","today"
"1341","announcement","coming"
"1342","announces","new"
"1343","annoying","i"
"1344","annoying","people"
"1345","annoying","moment"
"1347","annual","meeting"
"1348","annual","conference"
"1349","another","day"
"1350","another","great"
"1351","another","one"
"1413","answer","question"
"1414","answer","questions"
"1415","answer","phone"
"1421","answered","question"
"1422","answering","questions"
"1423","answering","question"
"1424","answers","questions"
"1425","anthony","davis"
"1426","antonio","tx"
"1427","antonio","texas"
"1428","antonio","tonight"
"1429","anxiously","awaiting"
"1430","any","suggestions"
"1431","any","chance"
"1432","any","ideas"
"1452","anybody","know"
"1453","anybody","else"
"1454","anybody","want"
"1458","anymore","i"
"1459","anymore","im"
"1460","anymore","lol"
"1463","anyone","else"
"1464","anyone","know"
"1465","anyone","want"
"1516","anything","else"
"1517","anything","i"
"1518","anything","like"
"1560","anytime","soon"
"1561","anytime","i"
"1562","anytime","want"
"1563","anyway","i"
"1564","anyway","lol"
"1565","anyways","i"
"1566","anywhere","else"
"1567","anywhere","near"
"1568","anywhere","i"
"1570","ap","test"
"1571","ap","exam"
"1572","apartment","complex"
"1573","apartment","hunting"
"1574","apologize","inconvenience"
"1575","apologize","i"
"1576","app","store"
"1577","app","i"
"1578","app","iphone"
"1587","apparently","i"
"1588","apparently","im"
"1589","apple","store"
"1590","apple","pie"
"1591","apple","cider"
"1596","appointment","today"
"1597","appreciate","support"
"1598","appreciate","follow"
"1599","appreciate","love"
"1613","appreciation","day"
"1614","appreciation","week"
"1615","apps","i"
"1616","apps","iphone"
"1617","april","th"
"1618","april","fools"
"1619","april","st"
"1626","arab","spring"
"1627","arcade","fire"
"1628","archive","�"
"1629","are","going"
"1630","are","you"
"1631","are","ready"
"1682","area","i"
"1683","area","now"
"1684","area","code"
"1685","ariana","grande"
"1686","arizona","state"
"1687","armed","forces"
"1688","arms","around"
"1689","arms","legs"
"1690","around","corner"
"1691","around","world"
"1692","around","i"
"1736","arrested","development"
"1737","arrive","early"
"1738","arrived","today"
"1739","art","museum"
"1740","art","show"
"1741","art","history"
"1756","article","i"
"1757","article","thanks"
"1758","artist","i"
"1759","artists","i"
"1760","artists","work"
"1761","artists","will"
"1762","arts","center"
"1763","arts","education"
"1764","arts","festival"
"1765","as","long"
"1766","as","i"
"1767","as","soon"
"1784","asap","i"
"1785","ash","wednesday"
"1786","ashton","kutcher"
"1787","ask","i"
"1788","ask","questions"
"1789","ask","question"
"1822","asked","i"
"1823","asked","question"
"1824","asked","u"
"1826","asking","i"
"1827","asking","questions"
"1828","asking","question"
"1833","asks","i"
"1834","asleep","i"
"1835","asleep","couch"
"1836","asleep","right"
"1838","aspect","life"
"1839","ass","ass"
"1840","ass","i"
"1841","ass","lol"
"1872","associated","press"
"1873","assume","i"
"1874","at","least"
"1875","at","the"
"1876","at","work"
"1901","ate","much"
"1902","ate","whole"
"1903","athletic","club"
"1904","atlanta","ga"
"1905","atlanta","i"
"1906","atlantic","city"
"1907","atleast","i"
"1908","attack","i"
"1909","attention","span"
"1910","attention","i"
"1911","♥","♥"
"1912","♥","i"
"1913","♥","love"
"1914","audience","member"
"1915","audio","video"
"1916","audition","today"
"1917","audition","tomorrow"
"1918","audition","tip"
"1919","auditions","today"
"1920","audrey","hepburn"
"1921","aug","th"
"1922","augmented","reality"
"1923","august","th"
"1924","august","st"
"1925","austin","mahone"
"1926","austin","i"
"1927","austin","tx"
"1939","author","unknown"
"1940","autism","awareness"
"1941","auto","correct"
"1942","auto","update"
"1943","auto","show"
"1947","available","now"
"1948","available","customer"
"1949","available","online"
"1957","avengers","movie"
"1958","avengers","tonight"
"1959","avengers","i"
"1961","average","person"
"1962","average","american"
"1963","avery","bradley"
"1964","avoid","area"
"1965","aw","thanks"
"1966","aw","i"
"1967","aw","thank"
"1978","awake","right"
"1979","awake","i"
"1980","awake","night"
"1981","award","winning"
"1982","award","best"
"1983","award","goes"
"1986","awards","show"
"1987","awards","tonight"
"1988","awards","i"
"1990","awareness","month"
"1991","awareness","day"
"1992","away","i"
"1993","away","free"
"1994","away","im"
"2020","awe","thanks"
"2021","awe","i"
"2022","awe","thank"
"2023","awesome","i"
"2024","awesome","thanks"
"2025","awesome","day"
"2120","awful","i"
"2121","awful","lot"
"2122","awh","thanks"
"2123","awh","i"
"2124","awhile","i"
"2125","awhile","since"
"2126","awhile","back"
"2128","awk","moment"
"2129","awkward","moment"
"2130","awkward","moments"
"2131","awkward","i"
"2132","awsome","account"
"2133","aww","thanks"
"2134","aww","i"
"2135","aww","thank"
"2143","awww","i"
"2144","awww","thanks"
"2145","awww","thank"
"2150","aye","aye"
"2151","aye","i"
"2152","aye","bro"
"2153","ayn","rand"
"2154","az","sexxy"
"2155","b","i"
"2156","b","day"
"2157","b","u"
"2174","babe","i"
"2175","babe","ruth"
"2176","babe","im"
"2177","baby","i"
"2178","baby","girl"
"2179","baby","boy"
"2208","bachelor","party"
"2209","bachelorette","party"
"2210","back","i"
"2211","back","home"
"2212","back","work"
"2452","background","music"
"2453","backstreet","boys"
"2454","bacon","bacon"
"2455","bacon","eggs"
"2456","bad","i"
"2457","bad","day"
"2458","bad","news"
"2529","badge","yelp"
"2530","badger","game"
"2531","badly","i"
"2532","bag","chips"
"2533","bag","i"
"2534","bag","money"
"2535","bake","sale"
"2536","baked","goods"
"2537","baked","potato"
"2538","bakery","coffee"
"2539","balboa","park"
"2540","ball","game"
"2541","ball","hard"
"2542","ball","rolling"
"2547","balloon","museum"
"2548","baltimore","city"
"2549","baltimore","md"
"2550","banana","bread"
"2551","banana","pudding"
"2552","band","i"
"2553","band","name"
"2554","band","practice"
"2566","bands","play"
"2567","bang","theory"
"2568","bang","bang"
"2569","bank","account"
"2570","bank","america"
"2571","bank","i"
"2572","baptist","church"
"2573","bar","tonight"
"2574","bar","grill"
"2575","bar","i"
"2580","barack","obama"
"2581","barber","shop"
"2582","barely","get"
"2583","barnes","noble"
"2584","baron","davis"
"2585","baron","cohen"
"2586","base","camp"
"2587","base","hit"
"2588","baseball","game"
"2589","baseball","season"
"2590","baseball","team"
"2598","bases","loaded"
"2599","basically","just"
"2600","basically","i"
"2601","basketball","game"
"2602","basketball","team"
"2603","basketball","wives"
"2612","bass","player"
"2613","bath","body"
"2614","bathing","suit"
"2615","bathroom","i"
"2616","baton","rouge"
"2617","battery","life"
"2618","battle","bands"
"2619","battle","cancer"
"2620","bay","area"
"2621","bay","packers"
"2622","bay","view"
"2623","bball","game"
"2624","bbq","sauce"
"2625","bbq","chicken"
"2626","bbq","ribs"
"2627","bc","i"
"2628","bc","im"
"2629","bc","u"
"2631","bcuz","i"
"2632","bday","party"
"2633","bday","wishes"
"2634","bday","bash"
"2641","be","sure"
"2642","be","careful"
"2643","be","safe"
"2684","beach","boys"
"2685","beach","house"
"2686","beach","day"
"2695","beans","rice"
"2696","bears","fan"
"2697","beast","mode"
"2698","beast","i"
"2699","beast","im"
"2700","beastie","boys"
"2701","beat","heat"
"2702","beat","ass"
"2703","beat","i"
"2712","beats","i"
"2713","beautiful","day"
"2714","beautiful","i"
"2715","beautiful","weather"
"2763","beauty","beast"
"2764","beauty","sleep"
"2765","beauty","dreams"
"2766","became","first"
"2767","because","i"
"2768","because","im"
"2769","because","of"
"2770","becky","look"
"2771","become","one"
"2772","become","fan"
"2773","become","better"
"2784","bed","i"
"2785","bed","early"
"2786","bed","time"
"2813","beef","jerky"
"2814","been","busy"
"2815","been","long"
"2816","been","waiting"
"2828","beep","beep"
"2829","beer","i"
"2830","beer","pong"
"2831","beer","week"
"2842","bees","knees"
"2843","beez","trap"
"2844","before","i"
"2845","beg","differ"
"2846","beginning","end"
"2847","beginning","think"
"2848","begins","today"
"2849","begins","now"
"2850","begins","tomorrow"
"2852","behind","back"
"2853","behind","scenes"
"2854","behind","every"
"2862","being","sick"
"2863","being","single"
"2864","being","a"
"2866","belated","birthday"
"2867","belated","thanks"
"2868","belated","bday"
"2869","belieber","going"
"2870","believe","i"
"2871","believe","im"
"2872","believe","will"
"2910","belly","button"
"2911","belongs","believe"
"2912","ben","jerrys"
"2913","ben","franklin"
"2914","benefit","concert"
"2915","benjamin","franklin"
"2916","benjamin","disraeli"
"2917","bernard","shaw"
"2918","besides","i"
"2919","best","friend"
"2920","best","thing"
"2921","best","way"
"3072","bestest","friend"
"3073","bet","i"
"3074","bet","u"
"3075","bet","will"
"3080","beta","testing"
"3081","better","i"
"3082","better","get"
"3083","better","soon"
"3205","betty","white"
"3206","betty","whites"
"3207","beverly","hills"
"3208","beyond","excited"
"3209","beyond","belief"
"3210","bf","i"
"3211","bible","study"
"3212","bible","verse"
"3213","bieber","fever"
"3214","bieber","i"
"3215","bieber","fan"
"3216","big","fan"
"3217","big","time"
"3218","big","deal"
"3329","bigger","better"
"3330","bigger","person"
"3331","biggest","fan"
"3332","biggest","loser"
"3333","biggest","fans"
"3340","bike","ride"
"3341","bike","work"
"3342","bike","riding"
"3345","bikram","yoga"
"3346","bill","clinton"
"3347","bill","gates"
"3348","bill","cosby"
"3354","billion","dollars"
"3355","billion","dollar"
"3356","billion","people"
"3357","billy","crystal"
"3358","billy","joel"
"3359","bin","laden"
"3360","bin","ladens"
"3361","bingo","players"
"3362","bio","i"
"3363","bird","gets"
"3364","birds","chirping"
"3365","birth","control"
"3366","birth","certificate"
"3367","birthday","i"
"3368","birthday","party"
"3369","birthday","today"
"3437","bit","i"
"3438","bit","better"
"3439","bit","much"
"3445","bitch","i"
"3446","bitch","im"
"3447","bitch","ass"
"3464","bitches","get"
"3465","bitches","i"
"3466","bitches","love"
"3468","bite","tongue"
"3469","bite","eat"
"3470","bitter","sweet"
"3471","bitter","end"
"3472","black","friday"
"3473","black","people"
"3474","black","white"
"3505","blah","blah"
"3506","blake","griffin"
"3507","blake","shelton"
"3508","blame","i"
"3509","blast","last"
"3510","blast","i"
"3511","blast","thanks"
"3513","blasting","music"
"3514","bleacher","report"
"3515","blended","learning"
"3516","bless","u"
"3517","bless","you"
"3518","bless","america"
"3523","blessed","day"
"3524","blessed","i"
"3525","blessed","see"
"3528","blew","mind"
"3529","blew","away"
"3530","blind","side"
"3531","blink","eye"
"3532","block","party"
"3533","block","away"
"3534","block","i"
"3535","blocks","away"
"3536","blog","post"
"3537","blog","posts"
"3538","blog","i"
"3545","blonde","hair"
"3546","blood","pressure"
"3547","blood","drive"
"3548","blood","sugar"
"3549","bloody","mary"
"3550","bloody","marys"
"3551","blow","mind"
"3552","blow","away"
"3553","blowing","mind"
"3554","blown","away"
"3555","blows","mind"
"3556","blu","ray"
"3557","blue","eyes"
"3558","blue","sky"
"3559","blue","cheese"
"3568","bluefield","west"
"3569","bo","ryan"
"3570","board","meeting"
"3571","board","directors"
"3572","board","member"
"3578","boardwalk","empire"
"3579","bob","marley"
"3580","bob","dylan"
"3581","bob","hope"
"3582","bobble","head"
"3583","bobby","brown"
"3584","bobby","v"
"3585","bobby","valentine"
"3587","bode","well"
"3588","body","i"
"3589","body","soul"
"3590","body","will"
"3601","bohemian","rhapsody"
"3602","boise","state"
"3603","bomb","ass"
"3604","bomb","threat"
"3605","bon","iver"
"3606","bon","jovi"
"3607","bonus","points"
"3608","boo","boo"
"3609","boo","i"
"3610","boo","im"
"3611","book","i"
"3612","book","club"
"3613","book","the"
"3646","booked","flight"
"3647","booker","t"
"3648","books","i"
"3649","books","read"
"3650","books","books"
"3652","boom","boom"
"3653","boot","camp"
"3654","booth","say"
"3655","booth","today"
"3656","booth","see"
"3657","booty","booty"
"3658","bored","i"
"3659","bored","af"
"3660","bored","hell"
"3671","boring","i"
"3672","boring","day"
"3673","boring","ass"
"3675","born","day"
"3676","born","raised"
"3677","born","today"
"3680","borrow","money"
"3681","boss","i"
"3682","boss","just"
"3683","boston","add"
"3684","boston","marathon"
"3685","boston","i"
"3688","bot","followers"
"3689","botanical","gardens"
"3690","both","teams"
"3691","bottle","wine"
"3692","bottle","service"
"3693","bottled","water"
"3694","bottles","wine"
"3695","bottom","line"
"3696","bottom","th"
"3697","bottomless","mimosas"
"3698","bought","new"
"3699","bought","tickets"
"3700","bought","first"
"3706","bounce","back"
"3707","bound","happen"
"3708","bourbon","street"
"3709","bout","go"
"3710","bout","get"
"3711","bout","time"
"3726","bouta","go"
"3727","bow","tie"
"3728","bow","bow"
"3729","bowl","sunday"
"3730","bowl","game"
"3731","bowl","party"
"3733","bowling","alley"
"3734","bowling","green"
"3735","box","office"
"3736","box","i"
"3737","box","chocolates"
"3739","boxing","day"
"3740","boxing","match"
"3741","boy","i"
"3742","boy","meets"
"3743","boy","girl"
"3756","boyfriend","i"
"3757","boyfriend","video"
"3758","boyfriend","just"
"3763","boys","girls"
"3764","boys","i"
"3765","boys","will"
"3770","boyz","like"
"3771","brad","pitt"
"3772","brad","paisley"
"3773","bradley","center"
"3774","brady","street"
"3775","brain","cells"
"3776","brain","i"
"3777","brain","freeze"
"3782","branch","library"
"3783","brand","new"
"3784","brand","name"
"3785","brass","monkey"
"3786","brave","enough"
"3787","brave","new"
"3788","bread","i"
"3789","break","leg"
"3790","break","i"
"3791","break","heart"
"3801","breakfast","i"
"3802","breakfast","lunch"
"3803","breakfast","morning"
"3812","breaking","news"
"3813","breaking","dawn"
"3814","breaking","bad"
"3818","breaks","heart"
"3819","breast","cancer"
"3820","breath","away"
"3821","breathe","carolina"
"3822","brett","favre"
"3823","brew","crew"
"3824","brew","city"
"3825","brewer","game"
"3826","brewers","game"
"3827","brewers","win"
"3828","brewers","fans"
"3829","brewing","co"
"3830","brian","tracy"
"3831","brian","mcknight"
"3832","brian","williams"
"3833","brick","wall"
"3834","bricks","others"
"3835","bridal","show"
"3836","bright","side"
"3837","bright","early"
"3838","bright","future"
"3840","brighten","day"
"3841","brightens","day"
"3842","brilliant","idea"
"3843","bring","back"
"3844","bring","home"
"3845","bring","us"
"3869","bringing","back"
"3870","bringing","home"
"3871","brings","back"
"3872","brings","us"
"3873","brings","people"
"3874","bristol","palin"
"3875","british","accent"
"3876","britney","spears"
"3877","bro","i"
"3878","bro","im"
"3879","bro","lol"
"3892","broad","ripple"
"3893","broadway","bar"
"3894","broadway","show"
"3895","broke","heart"
"3896","broke","i"
"3897","broken","heart"
"3898","broken","hearts"
"3899","broken","i"
"3901","brooklyn","ny"
"3902","brother","i"
"3903","brother","just"
"3904","brother","sister"
"3907","brothers","sisters"
"3908","brought","back"
"3909","brought","home"
"3910","brought","us"
"3913","brown","bag"
"3914","brown","rice"
"3915","brown","sugar"
"3921","bruce","lee"
"3922","bruce","springsteen"
"3923","brunch","today"
"3924","bruno","mars"
"3925","brush","teeth"
"3926","brushing","teeth"
"3927","brussel","sprouts"
"3928","brussels","sprouts"
"3929","bryce","harper"
"3930","bst","free"
"3931","btu","inspiration"
"3932","btw","i"
"3933","btw","im"
"3934","btw","love"
"3937","bubba","watson"
"3938","bubble","bath"
"3939","bubble","gum"
"3940","bubble","tea"
"3941","bucket","list"
"3942","bucks","game"
"3943","bud","light"
"3944","buddy","i"
"3945","buddy","just"
"3946","buddy","im"
"3947","budget","cuts"
"3948","buenos","dias"
"3949","buffalo","chicken"
"3950","buffalo","bills"
"3951","buffalo","wild"
"3953","build","new"
"3954","build","community"
"3955","build","relationships"
"3956","building","new"
"3957","building","i"
"3958","bull","shit"
"3959","bulls","game"
"3960","bulls","win"
"3961","bulls","fans"
"3962","bullshit","i"
"3963","bummed","i"
"3964","bummer","i"
"3965","bumper","sticker"
"3966","bunch","people"
"3967","bunch","new"
"3968","burger","king"
"3969","burger","fries"
"3970","burn","calories"
"3971","burned","calories"
"3972","bus","stop"
"3973","bus","driver"
"3974","bus","ride"
"3979","business","cards"
"3980","business","i"
"3981","business","plan"
"3999","bust","ass"
"4000","busy","day"
"4001","busy","busy"
"4002","busy","week"
"4017","but","i"
"4018","but","im"
"4019","but","still"
"4099","butter","jelly"
"4100","butternut","squash"
"4101","buy","one"
"4102","buy","new"
"4103","buy","tickets"
"4126","buying","new"
"4127","buying","one"
"4128","by","way"
"4129","by","the"
"4130","by","time"
"4132","bye","bye"
"4133","bye","twitter"
"4134","bye","guys"
"4136","c","u"
"4137","c","i"
"4138","c","im"
"4140","cab","driver"
"4141","cab","drivers"
"4142","cabin","woods"
"4143","cabin","in"
"4144","cabin","fever"
"4145","cable","tv"
"4146","cake","cake"
"4147","cake","i"
"4148","california","i"
"4149","call","us"
"4150","call","me"
"4151","call","today"
"4217","called","the"
"4218","called","i"
"4219","called","back"
"4226","calling","name"
"4227","calling","night"
"4228","calling","now"
"4232","calls","i"
"4233","calm","storm"
"4234","calorie","goal"
"4235","calories","minutes"
"4236","calories","burned"
"4237","calvin","johnson"
"4238","cam","newton"
"4239","camden","yards"
"4240","came","back"
"4241","came","home"
"4242","came","last"
"4264","camera","i"
"4265","camping","trip"
"4266","campus","today"
"4267","can","get"
"4268","can","i"
"4269","can","make"
"4622","can’t","wait"
"4623","cancelled","due"
"4624","cancer","research"
"4625","cancer","awareness"
"4626","candy","bar"
"4627","candy","i"
"4628","candyswipe","free"
"4629","cannot","wait"
"4630","cannot","believe"
"4631","cant","wait"
"4632","cant","believe"
"4633","cant","sleep"
"4686","cap","gown"
"4687","cap","hill"
"4688","cape","cod"
"4689","capitol","hill"
"4690","capri","sun"
"4691","caps","game"
"4692","caps","caps"
"4693","caps","win"
"4695","captain","america"
"4696","car","i"
"4697","car","wash"
"4698","car","accident"
"4720","card","i"
"4721","card","today"
"4722","card","winner"
"4724","cards","i"
"4725","care","i"
"4726","care","less"
"4727","care","much"
"4748","career","fair"
"4749","career","i"
"4750","career","day"
"4752","cares","i"
"4753","carly","rae"
"4754","carnegie","hall"
"4755","carpet","cleaning"
"4756","carrie","underwood"
"4757","carried","away"
"4758","carroll","shelby"
"4759","carrot","cake"
"4760","carter","mahone"
"4761","cartoon","network"
"4762","casa","de"
"4763","case","i"
"4764","case","study"
"4765","case","wondering"
"4773","casey","anthony"
"4774","cash","flow"
"4775","cash","money"
"4776","cash","back"
"4777","cast","crew"
"4778","cast","members"
"4779","cast","vote"
"4781","casting","call"
"4782","casting","director"
"4783","casting","code"
"4785","cat","i"
"4786","cat","just"
"4787","cat","food"
"4789","catch","soon"
"4790","catch","us"
"4791","catch","next"
"4801","catchers","report"
"4802","catching","fire"
"4803","catering","take"
"4804","catholic","church"
"4805","catholic","school"
"4806","cats","dogs"
"4807","cats","cats"
"4808","cats","i"
"4809","caught","fire"
"4810","cause","i"
"4811","cause","im"
"4812","cause","u"
"4833","cbs","news"
"4834","cc","rt"
"4835","cd","release"
"4836","cd","i"
"4837","cd","coming"
"4838","cease","amaze"
"4839","ceases","amaze"
"4840","cedar","point"
"4841","cee","lo"
"4842","ceiling","fan"
"4843","celebrate","birthday"
"4844","celebrate","us"
"4845","celebrate","cinco"
"4851","celebrating","birthday"
"4852","celebrating","th"
"4853","celebrating","years"
"4854","celebrity","apprentice"
"4855","celebrity","crush"
"4856","cell","phone"
"4857","cell","phones"
"4858","celtics","game"
"4859","cent","wings"
"4860","center","tonight"
"4861","center","pm"
"4862","center","today"
"4866","central","park"
"4867","central","time"
"4868","central","florida"
"4871","certain","people"
"4872","certain","things"
"4873","certain","way"
"4874","certainly","hope"
"4875","certified","wet"
"4876","chai","tea"
"4877","challenge","accepted"
"4878","challenge","i"
"4879","chamber","commerce"
"4880","champions","league"
"4881","championship","game"
"4882","chance","win"
"4883","chance","see"
"4884","chance","i"
"4901","chances","i"
"4902","change","world"
"4903","change","life"
"4904","change","name"
"4939","changed","life"
"4940","changed","name"
"4941","changed","mind"
"4948","changes","everything"
"4949","changes","life"
"4950","changes","i"
"4952","changing","world"
"4953","changing","name"
"4954","changing","way"
"4956","channel","i"
"4957","channing","tatum"
"4958","chapel","hill"
"4959","chapter","page"
"4960","chapter","life"
"4961","character","i"
"4962","characters","less"
"4963","charge","phone"
"4964","charity","event"
"4965","charles","barkley"
"4966","charles","dickens"
"4967","charlie","sheen"
"4968","charlie","brown"
"4969","charlotte","nc"
"4970","charlotte","bobcats"
"4971","charter","school"
"4972","charter","schools"
"4973","chase","dreams"
"4974","chat","soon"
"4975","chat","tonight"
"4976","chat","w"
"4980","chatting","w"
"4981","cheap","drinks"
"4982","check","us"
"4983","check","new"
"4984","check","out"
"5047","checked","new"
"5048","checking","us"
"5049","checking","twitter"
"5050","checking","new"
"5055","checkout","meech"
"5056","cheddar","cheese"
"5057","cheers","rt"
"5058","cheese","steak"
"5059","cheese","day"
"5060","cheese","fries"
"5066","cheesecake","factory"
"5067","cher","lloyd"
"5068","cherry","blossom"
"5069","cherry","top"
"5070","cherry","blossoms"
"5071","chest","hair"
"5072","chewing","gum"
"5073","chi","town"
"5074","chia","seeds"
"5075","chicago","i"
"5076","chicago","il"
"5077","chicago","bulls"
"5087","chick","fil"
"5088","chick","thirsty"
"5089","chick","just"
"5090","chicken","wings"
"5091","chicken","soup"
"5092","chicken","salad"
"5100","child","support"
"5101","child","abuse"
"5102","child","i"
"5104","childhood","memories"
"5105","childish","gambino"
"5106","children","will"
"5107","children","i"
"5108","childrens","book"
"5109","childrens","hospital"
"5110","childrens","museum"
"5112","chile","follow"
"5113","chili","peppers"
"5114","chili","cheese"
"5115","chill","i"
"5116","chill","day"
"5117","chillin","w"
"5118","chinese","food"
"5119","chinese","proverb"
"5120","chinese","new"
"5122","chip","cookies"
"5123","chip","cookie"
"5124","chip","day"
"5126","chipper","jones"
"5127","chips","salsa"
"5128","chocolate","chip"
"5129","chocolate","cake"
"5130","chocolate","milk"
"5137","choice","awards"
"5138","choice","i"
"5139","choices","make"
"5140","choir","concert"
"5141","choose","one"
"5142","choose","wisely"
"5143","chris","brown"
"5144","chris","paul"
"5145","chris","bosh"
"5151","christ","i"
"5152","christian","bale"
"5153","christina","aguilera"
"5154","christmas","eve"
"5155","christmas","everyone"
"5156","christmas","tree"
"5178","christopher","hitchens"
"5179","christopher","plummer"
"5180","chronicle","press"
"5181","chuck","norris"
"5182","chuck","brown"
"5183","chuck","e"
"5184","chula","vista"
"5185","church","today"
"5186","church","i"
"5187","church","morning"
"5191","cinco","de"
"5192","cinnamon","rolls"
"5193","cinnamon","toast"
"5194","cirque","du"
"5195","city","council"
"5196","city","hall"
"5197","city","i"
"5214","civic","center"
"5215","civil","rights"
"5216","civil","war"
"5217","civil","wars"
"5218","cj","watson"
"5219","claim","prize"
"5220","clam","chowder"
"5221","clap","clap"
"5222","clark","died"
"5223","class","i"
"5224","class","today"
"5225","class","tonight"
"5251","classes","today"
"5252","classes","i"
"5253","classes","start"
"5254","classic","rock"
"5255","classical","music"
"5256","clay","matthews"
"5257","clean","house"
"5258","clean","room"
"5259","clean","water"
"5262","cleaning","house"
"5263","cleaning","room"
"5264","clear","i"
"5265","clear","mind"
"5266","clear","head"
"5269","clearly","i"
"5270","clearly","need"
